pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se
hdl 0.0485337 0.00978919 0.0428294 0.00846175 0.00862394 0.00220014 0.00222954 0.00106988 0.0149348 0.00893046 0.0925245 0.0402107 0.125926 0.0235793 0.0463234 0.00771612 0.00231315 0.00497641 -0.00191946 0.00278164 -0.00058856 0.00111455 -0.000443733 0.00032233 -0.000223833 0.000733086 -0.00115182 0.00142268 0.000457828 0.00122577 0.000383012 0.000725378 0.0414072 0.00479517 -0.00117341 0.00473519 0.381926 0.0572617
height 0.145599 0.013274 0.0941078 0.00809532 0.026352 0.0037845 0.00558995 0.0012977 0.014323 0.00296543 0.109463 0.0101647 0.19979 0.0114899 0.112121 0.0114246 0.00706289 0.00429188 -0.000239404 0.00244472 0.00127733 0.00093881 -0.000289266 0.000300736 -0.000868553 0.000452586 0.000856131 0.00109423 0.00102291 0.00102509 8.37537e-05 0.000478884 -0.0018231 0.00467664 0.0089058 0.00452233 0.707346 0.0340403
igf1 0.0464305 0.00804473 0.0406627 0.00516544 0.0105735 0.00231434 0.00229533 0.000697041 0.00720998 0.00144047 0.0507301 0.00559516 0.101347 0.0108475 0.0567633 0.00637439 0.00474514 0.00429178 0.000756924 0.00231603 0.000310988 0.00107326 -0.000264236 0.000241342 0.000218465 0.00060459 0.00253476 0.00121608 -0.00230613 0.00110527 0.00016659 0.000564278 0.00333172 0.00457443 0.0061625 0.00459084 0.316012 0.0201388
ldl 0.0185402 0.0105119 0.0522914 0.0245255 0.00245973 0.00153924 0.000697318 0.000345625 0.00130237 0.000846044 0.0568576 0.0334476 0.0403382 0.00719609 0.0191229 0.00488072 -0.00241708 0.00427175 0.000527423 0.0026276 0.00161492 0.00100337 -0.000126253 0.000320047 8.18707e-05 0.000514382 -0.00147293 0.000981778 -0.000513679 0.00109605 -0.000126836 0.000516964 0.0211788 0.00421344 -0.00243256 0.00418069 0.19161 0.0502635
microalbumin -0.00309063 0.0122556 0.000691665 0.00657426 0.00157839 0.00240429 -0.000906287 0.000691556 0.00028719 0.0017201 0.0139447 0.0032307 0.0135986 0.00352445 0.00829906 0.0021068 -0.000205098 0.010541 0.00139262 0.00784148 0.00345076 0.00268922 0.00111677 0.00082688 -0.000978182 0.00191106 0.00728604 0.0034169 -0.00480181 0.00321934 -0.00128162 0.00157547 0.00499311 0.0109566 0.00597946 0.0109695 0.0344027 0.012771
overall_health 0.0390158 0.00450086 0.0196038 0.00260419 0.00645728 0.00101263 0.000898876 0.000315054 0.00201085 0.000633094 0.0174084 0.00159447 0.0380928 0.00181632 0.0219392 0.00237939 0.0127414 0.00437952 0.00837898 0.00252211 0.000442732 0.00102625 -7.52621e-05 0.000259699 0.000231401 0.000592018 0.00238112 0.000985171 0.0015202 0.00106744 0.000748847 0.000564452 0.0187775 0.00401391 0.0263694 0.00402415 0.145427 0.00553872
phosphate 0.0409258 0.0055894 0.0167837 0.00383397 0.00607217 0.00160969 0.00179504 0.000512785 0.00329628 0.000897507 0.0267779 0.00465684 0.0623706 0.00874925 0.0190612 0.0028283 -0.00544665 0.00471215 -0.00515679 0.00262221 -0.0014606 0.00105141 -0.000389344 0.000292119 -2.07696e-05 0.000505964 0.00231887 0.00130662 1.27863e-05 0.00115172 0.000101784 0.000564063 0.0275443 0.00504313 -0.0100407 0.00503278 0.177083 0.0155026
potassium 0.00564477 0.00438234 0.00686999 0.00238369 0.0012904 0.000942602 0.000333787 0.00030656 0.00149776 0.000577483 0.00798389 0.0013531 0.0182625 0.00143293 0.00962946 0.00112536 0.0045634 0.00382383 -0.00126455 0.00238814 0.000194287 0.000934143 -0.000408313 0.00027757 0.00217244 0.00060424 0.00246834 0.00104173 0.000652495 0.00100317 0.000562612 0.00067968 0.0295851 0.00399858 0.00894071 0.00399299 0.0515126 0.00518815
shbg 0.0647167 0.0194116 0.0458453 0.00742839 0.0215903 0.0117396 -0.000271183 0.000779236 0.00697778 0.00223456 0.0518156 0.0087771 0.110695 0.0307448 0.0510287 0.0123573 0.0121581 0.00408033 0.00315366 0.00281948 -0.000442187 0.00108863 -0.000444062 0.000260312 9.93371e-05 0.000669664 0.00154896 0.00120703 0.000628473 0.00103276 7.81495e-05 0.000569355 -0.0184001 0.00426401 0.0167804 0.00426093 0.352398 0.068266
sodium 0.02151 0.0044379 0.014313 0.00266218 0.00236862 0.000917276 0.000992155 0.000327545 0.00236498 0.000666485 0.0142972 0.00142449 0.0290889 0.00180732 0.0165218 0.00230563 -0.000723918 0.00417113 -0.00342907 0.00249451 -0.000920093 0.000808871 3.07679e-05 0.000292506 0.00110134 0.000632731 0.00131951 0.000903588 -0.00027921 0.00109227 0.00041525 0.000503596 0.0262257 0.0047075 -0.00248542 0.00470849 0.101457 0.00457942
testosterone 0.0137753 0.00461379 0.00841165 0.00333055 0.0067887 0.00143929 0.000269597 0.000531477 0.00176853 0.000620104 0.0177612 0.00245503 0.0359988 0.00632392 0.0156817 0.0044959 -0.000408386 0.00469812 0.00352762 0.00320987 -0.000147725 0.00101879 0.000219797 0.000337057 0.000701976 0.000534913 -0.00015036 0.00125464 0.00157787 0.00122211 -2.65672e-05 0.000648457 0.0144493 0.00501493 0.00529423 0.00500031 0.100456 0.0113611
triglycerides 0.0500369 0.012219 0.0451142 0.0104348 0.00821235 0.00201124 0.000466729 0.000646355 0.0053531 0.00157978 0.0442149 0.00600027 0.0883505 0.0142546 0.0443398 0.0101162 0.00377743 0.00413562 0.000242556 0.00241285 0.00137594 0.00105859 -0.000453352 0.000262771 -0.000650743 0.000670122 0.000112283 0.00107085 0.00024544 0.0010953 -0.000494356 0.000545016 0.0198323 0.00437631 0.00415519 0.0043764 0.286088 0.0379132
urate 0.0507353 0.00771369 0.0334504 0.0105676 0.0229757 0.0126419 -0.000265979 0.00229151 0.00543411 0.000944648 0.0345736 0.00291155 0.0584201 0.0180336 0.0999346 0.0672297 0.00963503 0.00427146 0.00209505 0.00248812 -0.000792221 0.00082954 -0.000192439 0.000260514 0.000225174 0.000654685 0.00273162 0.00111618 0.000437665 0.00107962 0.00162315 0.000727696 0.00011859 0.00470699 0.015763 0.00475588 0.305258 0.0696233
urea 0.0251947 0.00442852 0.0225458 0.00439849 0.00276174 0.00135308 0.00163513 0.000539109 0.00617354 0.00150254 0.028862 0.00278005 0.0523173 0.00509277 0.0248376 0.00422288 0.0169136 0.00443288 0.00161415 0.00262982 0.000306985 0.00100663 3.17323e-06 0.000330125 0.000403573 0.00061495 0.00242324 0.00116299 6.1256e-05 0.00107769 -0.000256139 0.00054623 0.0366196 0.00444811 0.0214698 0.00446414 0.164328 0.0094087
vitamin_d 0.0332121 0.00552847 0.0246478 0.00882393 0.00644592 0.00400909 0.000707184 0.000444764 0.00351247 0.00104206 0.010597 0.00298967 0.047827 0.0144134 0.0180203 0.00506238 0.00500008 0.00498895 0.00441119 0.00244426 0.000853411 0.00113789 0.000356687 0.000368944 0.00110921 0.000609668 0.000156579 0.00115849 -0.00102655 0.00116642 0.000283223 0.000643999 0.0403296 0.0053133 0.0111438 0.0053 0.14497 0.0240744
whr 0.0345691 0.00409263 0.0337527 0.00391975 0.00763645 0.00169463 0.00239653 0.000461209 0.00472816 0.00107878 0.0363715 0.002846 0.070474 0.00355525 0.0304115 0.00681455 0.00167843 0.00387491 0.000629152 0.00216093 0.000129965 0.00083737 0.000172871 0.00030008 0.000492837 0.000619104 0.00159685 0.000937859 0.00130535 0.000948228 0.000202037 0.000413717 -0.00377639 0.00420948 0.00620749 0.00417867 0.22034 0.00800991
