pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se
hair_color 0.0776663 0.0367805 0.0267913 0.012814 0.00265105 0.00279327 -0.000258037 0.00072981 0.0756505 0.0622221 0.0236848 0.0173551 0.102294 0.0376645 0.0328796 0.0108387 -0.00449925 0.00729698 0.000479422 0.00371183 0.00159664 0.00143982 6.97497e-05 0.000451477 3.102e-06 0.00231679 -0.00279321 0.00229867 0.000455478 0.00256242 -0.00167663 0.00162496 -0.0593555 0.00893522 -0.0063647 0.00796809 0.34136 0.101297
hba1c 0.0455801 0.00933895 0.0283738 0.00604296 0.0104544 0.00303384 0.00174634 0.000739487 0.00554862 0.00275531 0.0879961 0.0237034 0.0813691 0.00794866 0.0484826 0.00976948 0.00711662 0.0076164 0.00712827 0.0052971 -0.00116429 0.00173533 -0.00135886 0.000506871 -0.00182936 0.00130804 -0.00643315 0.00617189 -0.00474326 0.00297314 0.000303095 0.00352552 -0.291321 0.0102884 -0.000980923 0.010091 0.309551 0.0269756
hdl 0.0523641 0.0118331 0.03869 0.00866763 0.00940824 0.00274954 0.000961325 0.0011326 0.018127 0.00980828 0.0890076 0.0389714 0.126921 0.023466 0.0480912 0.00800692 -0.00746518 0.00888122 0.00328784 0.00409126 -0.00198029 0.00201898 0.00176948 0.00065035 -0.0034692 0.00122779 0.00182688 0.00336678 -0.00355867 0.00300493 -0.00517828 0.00184975 -0.0814597 0.0111584 -0.0147674 0.00973002 0.38357 0.0573817
height 0.139348 0.0159843 0.0948888 0.00953298 0.0274839 0.00451381 0.00694081 0.00159141 0.0133103 0.00305367 0.106064 0.0100172 0.204417 0.0124756 0.10035 0.0162027 0.00630819 0.00751594 0.00458031 0.00521776 -0.000466076 0.00184882 -0.00157117 0.000764927 0.000618387 0.00110627 0.00304076 0.00253909 -0.00304818 0.00276162 -3.90825e-06 0.00304503 -0.00739312 0.0114866 0.00945831 0.00907648 0.692803 0.0365644
igf1 0.0424992 0.0111358 0.0409975 0.00632268 0.0107808 0.00278704 0.00280178 0.000828716 0.00703272 0.0016914 0.0548313 0.00627585 0.101691 0.0112815 0.059433 0.00572681 0.00495609 0.00827898 0.000931055 0.00454213 -0.000807975 0.00196012 -0.000584944 0.000619833 0.000258837 0.00134453 -0.00471296 0.00227512 0.00145533 0.00287104 -0.00421693 0.00216394 -0.123016 0.00928751 -0.0027215 0.00824835 0.320067 0.022981
ldl 0.0239134 0.0140686 0.0604175 0.028457 0.00398929 0.00213582 0.000695219 0.000558774 0.00131735 0.0012307 0.0736728 0.0416182 0.0587278 0.0103216 0.0279312 0.00618177 0.0137137 0.00857616 0.0266762 0.0140301 -0.000721939 0.00169154 6.81357e-05 0.000492254 0.00130177 0.00089141 0.0254437 0.0158381 0.0195292 0.00458481 0.00890184 0.00216734 -0.00795846 0.0288208 0.0949126 0.0279901 0.250665 0.0600918
microalbumin -0.00433819 0.0195317 -0.00532836 0.0108805 0.00926805 0.00392553 -0.00377923 0.0011367 0.00148102 0.00279885 0.0147407 0.00396 0.0145234 0.00516726 0.0105 0.00310516 -0.000266014 0.0194956 0.00788823 0.0115978 -0.0101595 0.00417232 0.00366419 0.00136109 -0.00114902 0.00238662 -0.000696628 0.00408491 -0.00317246 0.00522164 -0.00495071 0.00238965 -0.123537 0.0206335 -0.00884187 0.0205706 0.0370674 0.0195651
overall_health 0.0282371 0.00704397 0.0202624 0.00385367 0.00634457 0.00150715 0.000715128 0.000549607 0.00183182 0.000996626 0.0184241 0.00202088 0.0383343 0.00244377 0.0232055 0.00241973 0.0069012 0.00689887 -0.00157992 0.00381039 -0.00119937 0.00155873 0.000456354 0.000616144 0.000189238 0.000978919 -0.00220839 0.00168958 -0.000384803 0.00202265 -0.00278643 0.0011584 -0.113392 0.00683512 -0.000612128 0.00680346 0.137355 0.00759274
phosphate 0.0480364 0.00853669 0.0180715 0.00515248 0.0060191 0.00213247 0.00188751 0.000672287 0.00326849 0.00126739 0.0291473 0.0048159 0.0643963 0.00842912 0.0178557 0.0026368 -0.0102409 0.00819184 -0.00220614 0.00475672 0.000304173 0.00196704 -0.000176233 0.000570869 0.000213032 0.000997983 -0.00336726 0.00184105 -0.00205103 0.00233691 -0.000495136 0.00185853 -0.0459054 0.00766813 -0.0180194 0.00750643 0.188682 0.0156604
potassium -0.0042304 0.00714954 0.00679889 0.00382035 0.000425375 0.00156018 4.21712e-05 0.000450543 0.00207981 0.000923907 0.00875241 0.00184868 0.0159912 0.00198377 0.0102023 0.00145144 0.0116908 0.00713001 0.000553925 0.0039306 0.00124162 0.00151828 0.000415118 0.000401699 -0.00085098 0.0010403 -0.00131506 0.0017299 0.00351088 0.00197388 -0.00129656 0.000980119 0.0515683 0.00726987 0.0139498 0.00724252 0.0400618 0.00803287
shbg 0.0700027 0.021135 0.0457672 0.00783848 0.0233264 0.0121841 -0.00033876 0.00098796 0.00880313 0.00267198 0.0486574 0.00874313 0.110262 0.0317803 0.0494785 0.0124272 -0.00834851 0.00718038 -0.00173133 0.00461963 -0.00310422 0.00186469 -4.32566e-05 0.000593824 -0.0022152 0.00103255 0.00244604 0.00233063 -0.00248626 0.00282089 -0.000115597 0.00195193 -0.00242889 0.0100583 -0.0155983 0.00916516 0.355959 0.0707656
sodium 0.0193359 0.0061624 0.0180769 0.00370759 0.000589162 0.0017133 0.000610008 0.000511561 0.00262993 0.00103994 0.0109613 0.00187697 0.0266543 0.00239071 0.015328 0.00227287 0.00142849 0.00682464 -0.00489886 0.00361714 0.00207434 0.00176437 0.000474172 0.000505187 -0.000272107 0.000984914 0.00433012 0.00176346 0.00359253 0.00225097 0.00188572 0.00110882 0.0254559 0.00725709 0.0086144 0.00733949 0.0941855 0.00670533
testosterone 0.0259912 0.00647046 0.0111319 0.00388422 0.00744546 0.00209691 -0.000353894 0.00063061 0.00193666 0.00109139 0.0151706 0.00277104 0.0352721 0.00730397 0.0176038 0.00456046 -0.015445 0.007168 -0.00421839 0.00426331 -0.000998194 0.00166097 0.000591433 0.000575605 -0.000227445 0.00123981 0.00297643 0.00198677 0.000712815 0.00250888 -0.00130666 0.00127928 0.099257 0.00802348 -0.017915 0.00804221 0.114198 0.0142765
triglycerides 0.0432511 0.0135628 0.0471064 0.0109836 0.0098702 0.00242634 0.000427869 0.000702975 0.00554407 0.00151113 0.0417931 0.00451908 0.0839709 0.0142029 0.0406318 0.0114503 0.00828879 0.00674458 -0.00206683 0.00442094 -0.00134377 0.00186068 0.000155681 0.000454611 -0.000115098 0.00171943 0.000488545 0.00295729 0.0030863 0.00240336 -0.0023511 0.003214 -0.0146739 0.00726822 0.00614252 0.00711191 0.272596 0.0375504
urate 0.0493754 0.0100334 0.0266078 0.0127321 0.0215249 0.0116378 0.000403493 0.00186806 0.00585953 0.00143457 0.0318763 0.00349262 0.0548859 0.0165581 0.0836167 0.0583997 0.00201044 0.00731576 0.0130048 0.00567647 0.00430697 0.00399112 -0.000401713 0.000760364 -0.000622448 0.00115368 0.00145891 0.00221258 0.00462433 0.00328515 0.00621552 0.0096263 -0.238996 0.0134201 0.0305968 0.0118865 0.27415 0.0615233
urea 0.0274656 0.00766343 0.0175031 0.00507906 0.00370135 0.00202044 0.00179086 0.000608861 0.00650472 0.00197751 0.0289241 0.00323197 0.0526777 0.00502139 0.0254836 0.00592334 -0.00382627 0.00769863 0.00744104 0.00416018 -0.000631618 0.00152173 -0.000145159 0.000480723 -0.000493309 0.00125441 -0.00100164 0.00214692 -0.00119459 0.00199291 -0.00420642 0.00137 -0.18026 0.00855366 -0.00405797 0.00826366 0.164051 0.0120749
vitamin_d 0.034105 0.00821343 0.0239354 0.00904941 0.00538131 0.00452185 0.00107042 0.000600362 0.00355174 0.00123748 0.0135488 0.00343225 0.0457913 0.0144451 0.0222204 0.00452313 -0.000337147 0.00678057 -0.000496797 0.00428945 0.00017995 0.00176891 -0.00052112 0.000509169 -9.0433e-05 0.00119201 -0.00345281 0.00196406 0.00112074 0.0019389 -0.00163834 0.00109315 -0.0637344 0.00703109 -0.00523596 0.00699977 0.149604 0.0256669
whr 0.0282087 0.00699719 0.0344618 0.00496025 0.00866377 0.00183505 0.0017171 0.000630558 0.00484653 0.00120798 0.0329468 0.00355029 0.0655546 0.00369188 0.0309182 0.00391026 0.00415868 0.00775048 -0.0030794 0.00423943 -0.00247367 0.00152901 0.00112992 0.00059454 -0.000146947 0.000973353 0.0027685 0.00218049 0.00346693 0.00229157 0.00118129 0.00130459 -0.0129077 0.00796668 0.00700531 0.00780406 0.207317 0.0091628
