pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se sigma2_e sigma2_e.se
glucose 0.0293224 0.00622522 0.0166964 0.00297948 0.00161958 0.00128859 0.00108347 0.000393985 0.00151756 0.000861124 0.0259661 0.00703683 0.0389744 0.00533641 0.0120538 0.00245001 0.00854919 0.00423815 0.000243777 0.00229799 0.000289504 0.00101306 -0.000571268 0.00024514 -0.000531617 0.000702109 0.000194797 0.00116613 -0.000580326 0.0010685 0.000402148 0.000548413 -0.767551 0.00884644 0.00799621 0.000548413 0.127234 0.00245001 1.58733 0.0171148
hair_color 0.0747872 0.0338786 0.0270897 0.0116822 0.00317061 0.00230399 -0.000252287 0.000649568 0.0744697 0.0627476 0.021208 0.0170206 0.103396 0.0388016 0.0345314 0.0105759 0.00118696 0.00346807 0.00172408 0.0023556 0.000792984 0.000783993 -3.38153e-05 0.000269702 -0.000463145 0.0005525 -0.000580891 0.00102207 0.000855963 0.00111899 -0.000158933 0.000454308 -0.296351 0.0261051 0.0033232 0.000454308 0.3384 0.0105759 0.915687 0.0916624
hba1c 0.0551738 0.00731604 0.0333836 0.00449356 0.00866412 0.00245312 0.00107382 0.000555003 0.00484729 0.00230224 0.082478 0.02529 0.0799902 0.0076252 0.0542479 0.00935573 0.00164494 0.00380001 -0.000343049 0.00226997 -0.000371181 0.00100529 -2.45031e-05 0.000258437 0.000680096 0.000604788 -0.000216129 0.00115552 -0.000208648 0.0009985 0.000380599 0.000634152 -0.878612 0.0260538 0.00154213 0.00393744 0.319859 0.028057 1.42253 0.0381203
hdl 0.0496152 0.00942723 0.042268 0.00839203 0.00782415 0.00217673 0.0021501 0.00107927 0.0152627 0.00899189 0.0928131 0.0401976 0.126959 0.023567 0.0474606 0.00802871 0.00342004 0.0037521 0.0029677 0.00264742 0.000733192 0.00102969 2.91885e-05 0.000322044 0.00131123 0.000790778 0.00158369 0.00122969 0.00605358 0.00130892 0.00151527 0.000751856 -0.0234527 0.0284287 0.0176139 0.00420759 0.384353 0.0575748 0.507197 0.0571771
height 0.146224 0.0130024 0.0975079 0.00875037 0.0261409 0.00387808 0.00607763 0.00136291 0.0135124 0.00286576 0.108786 0.0101551 0.201601 0.0119435 0.109354 0.0146802 0.0036237 0.00396583 0.00165963 0.00231099 3.22317e-05 0.00100699 -9.5924e-05 0.000278564 0.00055747 0.000564425 0.00321736 0.00112275 0.00336327 0.00122833 0.000815439 0.000864195 0.00417655 0.0451368 0.0131732 0.00402898 0.709204 0.033382 0.133855 0.0272386
igf1 0.0476056 0.00798583 0.0430512 0.00560388 0.0103673 0.00250394 0.00244336 0.000749278 0.0070021 0.00139358 0.0500344 0.00560987 0.102286 0.0110109 0.0518258 0.00915563 -0.00220008 0.00370633 0.000170932 0.00195078 0.00162498 0.00100358 -0.000106862 0.000269475 0.00101902 0.000468664 0.00377969 0.00108839 0.00721823 0.00123236 0.00209568 0.000785315 0.221415 0.0241674 0.0136016 0.00421034 0.314615 0.0201124 0.418005 0.0274408
ldl 0.0201423 0.0105174 0.0513836 0.024245 0.00200815 0.00149109 0.00071946 0.000346839 0.00127406 0.000789242 0.0564793 0.0335475 0.0406539 0.00717706 0.0190127 0.00450324 0.00769947 0.00380956 0.00288956 0.0031749 0.000237815 0.000916548 9.79636e-05 0.000286749 -7.2915e-05 0.000688245 0.00560378 0.00247851 0.00479225 0.00121585 0.00150936 0.000807478 -0.212019 0.0138093 0.0227573 0.00583902 0.191673 0.0499721 0.959997 0.0531766
microalbumin -0.00164102 0.0125162 0.00237939 0.00704781 0.00106312 0.00268394 -0.000844396 0.000720315 0.00116909 0.00172757 0.0146558 0.0034314 0.0131037 0.00354203 0.00825096 0.00225404 0.0115386 0.0127338 0.00692111 0.00777085 -0.00147323 0.00258764 0.000186526 0.000894889 -0.000707724 0.00158446 0.00128742 0.00352119 0.00258561 0.00298465 0.000938393 0.00160722 -0.764497 0.0143018 0.0212767 0.0130877 0.0381366 0.0132136 1.68815 0.0139278
overall_health 0.0393058 0.00461773 0.0212678 0.00258864 0.00606636 0.00109452 0.00113281 0.000319906 0.00218934 0.000634148 0.0188811 0.00165528 0.0422685 0.00201433 0.0226271 0.00327243 0.00028148 0.00388171 0.00519538 0.00221829 -0.000264381 0.000785594 0.00038103 0.000245789 4.53299e-05 0.000567691 0.0012333 0.000923832 0.00197975 0.00110167 0.000544271 0.00047359 -0.496718 0.0132259 0.00939615 0.0043971 0.153739 0.00548072 1.25059 0.0135115
phosphate 0.0398364 0.00536102 0.0169489 0.00388989 0.00620535 0.00167135 0.00166023 0.000523552 0.00319185 0.0008918 0.0262998 0.00460951 0.0624369 0.00871114 0.0171011 0.00347699 -0.00161321 0.00428518 0.00273761 0.00278373 -0.000644934 0.000990228 0.000367913 0.000473498 0.00103186 0.000764883 0.0024693 0.00116898 0.00202649 0.00130821 0.000185119 0.00051449 -0.447539 0.0102001 0.00656015 0.00471327 0.17368 0.0151982 1.18092 0.0171416
potassium 0.00389173 0.00443902 0.00714554 0.00241738 0.00119741 0.000944168 0.000311364 0.000305621 0.00143563 0.000548954 0.00800633 0.00135795 0.0187629 0.00144436 0.00915707 0.00117332 0.00963253 0.00401175 0.0023989 0.00256846 -0.000499547 0.000885291 0.000311048 0.000301838 -0.000562917 0.000630974 0.000799188 0.0012201 0.00162263 0.00120846 0.000849366 0.000703661 0.360955 0.0059056 0.0145512 0.00394387 0.049908 0.00511141 0.560984 0.00581713
shbg 0.0603844 0.0191909 0.0433753 0.00780409 0.0231385 0.0119748 -0.000404081 0.000810037 0.00706431 0.00225604 0.050861 0.00897405 0.110871 0.0306645 0.0450141 0.0126907 0.0110923 0.00447385 0.00455816 0.00286006 0.00187586 0.00106772 -0.000341175 0.000278708 0.000357192 0.000740201 0.00635012 0.00148758 0.00753623 0.00142227 0.00350487 0.00118481 1.47841 0.0264479 0.0349336 0.00489259 0.340304 0.0672456 -0.682881 0.053659
sodium 0.0203403 0.00436871 0.0147361 0.00260478 0.00222673 0.000930448 0.00102638 0.000353158 0.00244997 0.000669993 0.0144622 0.00138706 0.0296846 0.00182986 0.0156863 0.00257939 0.00901399 0.00464291 -0.000134373 0.00219904 0.000266193 0.000942616 3.82332e-05 0.000232149 0.000328868 0.000606372 0.000210346 0.000885702 0.000748303 0.00110653 0.000286892 0.000490692 0.125848 0.00815302 0.0107584 0.00465896 0.100613 0.00465582 0.705787 0.0079819
testosterone 0.0140455 0.00462686 0.00811727 0.00338492 0.00667344 0.00141981 0.000196921 0.000524148 0.00164767 0.000615919 0.0178422 0.00238436 0.0358571 0.00635541 0.0149823 0.00456193 0.0239411 0.00477699 0.0176224 0.0039969 0.00517506 0.00151452 0.000648271 0.00037954 0.00360252 0.000773951 0.0131569 0.00192337 0.0314076 0.00408616 0.0158775 0.0020612 -0.290541 0.0109325 0.111431 0.00885945 0.0993625 0.011424 0.392694 0.00500309
triglycerides 0.0495565 0.0122985 0.0455376 0.0104585 0.00828711 0.00212488 0.000560235 0.000626322 0.00541597 0.00159266 0.0434923 0.00596301 0.0881904 0.0141672 0.0424844 0.0105965 -0.00124619 0.00343595 0.00268153 0.00220061 0.000506435 0.00101975 -0.000258944 0.000245438 -0.000413671 0.000527066 0.00199947 0.00120773 0.00321372 0.00108037 0.00135137 0.000468686 -0.629854 0.0193104 0.00783372 0.00418273 0.283524 0.0375778 1.2409 0.041695
urate 0.0512801 0.00761412 0.0350179 0.0115622 0.0230764 0.0128549 -5.1402e-05 0.002278 0.00547266 0.000990238 0.0341554 0.00294544 0.0585334 0.0179334 0.0953718 0.065263 0.00253555 0.00386317 0.00620038 0.00258769 0.00270718 0.00300054 -0.00128342 0.00057073 0.000323882 0.00059596 0.00172448 0.00116631 -0.000371833 0.0038783 0.0192418 0.0168378 0.321266 0.0411674 0.031078 0.0155048 0.302856 0.0673966 0.244651 0.0419927
urea 0.0262439 0.00423408 0.0228668 0.00421621 0.00287025 0.00131816 0.00152387 0.000537492 0.0062799 0.0015691 0.0283534 0.00276981 0.0513637 0.00489755 0.0250323 0.00377983 0.00753452 0.00423186 -0.00196871 0.00231412 0.000618325 0.000885062 0.000254641 0.000308462 -0.000329025 0.000560316 0.000915628 0.000985598 0.00268165 0.00109733 0.000807999 0.000540585 -0.148027 0.0107832 0.010515 0.0044351 0.164534 0.00913689 0.882676 0.0125942
vitamin_d 0.0337904 0.00562321 0.0241796 0.00861797 0.00568806 0.00395418 0.000855496 0.000483922 0.00353314 0.00104567 0.0110739 0.00296737 0.0475328 0.0143073 0.0186392 0.00459329 0.00661872 0.00473504 0.00190323 0.00247461 0.00114198 0.000957997 -0.000456749 0.000282903 -0.000450633 0.000510523 0.00198116 0.00127604 0.000956862 0.0011287 0.000374938 0.000675968 -0.0180833 0.0100638 0.0120695 0.00481695 0.145293 0.0241357 0.848977 0.0257848
whr 0.0348963 0.00451069 0.0345603 0.00368492 0.00657173 0.00153924 0.00292164 0.000462419 0.00473677 0.00114011 0.0372583 0.00297374 0.0719565 0.00354657 0.0322148 0.00481456 0.0104614 0.00393324 0.00698559 0.00265231 0.00179849 0.000995268 3.21084e-05 0.000305365 0.00136268 0.000636721 0.0107992 0.00131684 0.0130473 0.00163256 0.00562708 0.00106945 0.62542 0.0193016 0.0501138 0.00496793 0.225116 0.00839479 0.0559145 0.0129769
