pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se
ggt 0.0617474 0.0145719 0.0314426 0.00676485 0.00739465 0.00194246 0.00175396 0.0005063 0.00598816 0.00284601 0.0851 0.0394418 0.0843142 0.00821957 0.040197 0.00586437 -0.00118673 0.00390618 0.00589219 0.00245134 -7.64021e-05 0.000897257 8.801e-05 0.000255462 0.000386123 0.000530373 0.00237785 0.000971326 0.00124729 0.000861088 0.000420189 0.00046037 -0.0291255 0.00375247 0.00914853 0.00376993 0.317938 0.0502321
glucose 0.0261634 0.00622511 0.0162312 0.0030037 0.0015907 0.00127096 0.000939036 0.000376039 0.00158027 0.00082074 0.0252608 0.00706299 0.0377845 0.00537965 0.0128984 0.00138324 0.00691114 0.00544498 0.00288775 0.00275288 0.00172508 0.00117927 0.000482224 0.000357316 0.00107834 0.000862985 -0.00043358 0.00155562 0.00402912 0.00173255 0.00208511 0.00077576 0.0707792 0.00533463 0.0187652 0.00533841 0.122448 0.0166233
hair_color 0.0728869 0.0339532 0.0271882 0.0115864 0.00348946 0.00241435 -0.000192479 0.000643069 0.0750266 0.0631288 0.0220014 0.0168972 0.101884 0.0383756 0.0332441 0.0117019 -0.000219663 0.00374934 0.00250839 0.00217697 -0.000151844 0.00089335 -0.000190229 0.00026685 0.00063628 0.000651214 -0.000342231 0.00101612 0.000581953 0.000964102 -0.000735606 0.000480722 0.0129018 0.00386873 0.00208705 0.00387061 0.335528 0.0993029
hba1c 0.0510229 0.00761433 0.0341378 0.00495783 0.00953272 0.00275292 0.00072768 0.000593829 0.00414803 0.00237286 0.0817307 0.0260747 0.0783311 0.00794254 0.0477942 0.012125 0.00987662 0.00490548 0.00018752 0.00273378 0.000403106 0.00112676 3.76666e-06 0.000350631 0.000647823 0.000630337 0.00378755 0.00164545 0.00710122 0.00139167 0.00253364 0.000732231 0.0433672 0.00494765 0.0245413 0.00495465 0.307425 0.0284883
hdl 0.0468298 0.00976491 0.040123 0.0081338 0.00736793 0.00218446 0.00200102 0.00102592 0.0152272 0.00934092 0.0900601 0.0402734 0.121455 0.0234432 0.0473168 0.00844329 -0.00236834 0.00479993 0.00489765 0.00273863 -0.000547211 0.00104214 0.000497482 0.000436957 3.1815e-05 0.000680269 -0.00027037 0.00125438 0.00138554 0.00125356 0.00068356 0.00064738 0.0192945 0.00519008 0.00431013 0.00520766 0.370381 0.0572503
height 0.1464 0.0131494 0.0953301 0.00839878 0.0270517 0.00400389 0.00611493 0.00137067 0.0140945 0.00282722 0.10829 0.0102244 0.20177 0.0119446 0.10561 0.0139829 0.00507235 0.00384306 0.00265175 0.00239704 0.000628242 0.000890878 -0.000124651 0.000308493 5.89487e-05 0.000546904 -0.00105422 0.000904377 -0.00141323 0.000932722 0.00116131 0.000494297 -0.00707039 0.00369244 0.00698051 0.00369673 0.704661 0.0343541
igf1 0.0457264 0.00762112 0.0427477 0.00525848 0.0102222 0.00244601 0.00236308 0.000797209 0.00730348 0.00150776 0.0500548 0.00562988 0.103602 0.0110308 0.0539067 0.00851336 0.00104395 0.00517153 -0.00323566 0.00260322 0.00108945 0.000941683 6.22941e-05 0.00028841 -0.000124766 0.00069452 0.000940857 0.0011869 0.00404568 0.00119127 -0.000294132 0.000461666 0.0255523 0.00506565 0.00352767 0.00503929 0.315927 0.0201433
ldl 0.0354304 0.0162004 0.0804434 0.0381495 0.00372551 0.00228515 0.000594634 0.000536174 0.00215464 0.00125415 0.0937514 0.0537333 0.0744667 0.0130991 0.0335656 0.00824055 0.00811339 0.00410752 0.00289888 0.00269596 0.000713938 0.00081581 -8.87913e-05 0.000259301 0.000331422 0.000539157 0.00208031 0.00139149 0.00399556 0.000938185 0.00141838 0.000495416 -0.0391326 0.00444493 0.0194631 0.00446591 0.324132 0.0807149
microalbumin -0.0021826 0.0118565 0.000221714 0.00663588 0.00209426 0.00243979 -0.00115097 0.000660001 0.000847266 0.00173787 0.0141018 0.00312719 0.0122596 0.0035821 0.0078133 0.0021793 -0.000560646 0.0145534 0.00929465 0.00796706 0.00410997 0.00355513 0.0008991 0.000891363 9.59401e-05 0.00212271 0.00511903 0.0039198 -0.000151614 0.00367542 -0.000455994 0.00183598 0.0233531 0.0147232 0.0183504 0.0147301 0.0340044 0.0125949
overall_health 0.0331695 0.00438576 0.0187739 0.00245362 0.00540422 0.000939288 0.00100764 0.000301612 0.0019085 0.000558264 0.0166498 0.0015165 0.0378323 0.00185403 0.020998 0.001896 0.00597757 0.00393726 0.000257643 0.00219173 0.000145292 0.000921949 0.000194264 0.000301707 0.00017786 0.000624639 -0.000146121 0.00122313 0.00229575 0.0011713 0.000478579 0.000499993 0.0165025 0.00391023 0.00938083 0.00390534 0.135744 0.00522002
